match_id,event_type,iso_time,elapsed_sec,loop_seq,strategy_a,strategy_b,score_a,score_b,leader,factory_owner,detail
default_vs_attack_20260525_111809_r1m1,MATCH_START,2026-05-25T03:21:29+00:00,0.0,0,default,attack,0,0,TIE,NEUTRAL,match started
default_vs_attack_20260525_111809_r1m1,LEAD_CHANGE,2026-05-25T03:26:10+00:00,281.0,9,default,attack,1232,6320,B,NEUTRAL,B overtakes A (+5088)
default_vs_attack_20260525_111809_r1m1,LEAD_CHANGE,2026-05-25T03:26:41+00:00,312.0,10,default,attack,13936,10090,A,NEUTRAL,A overtakes B (+3846)
default_vs_attack_20260525_111809_r1m1,LEAD_CHANGE,2026-05-25T03:27:12+00:00,343.0,11,default,attack,15300,15570,B,NEUTRAL,B overtakes A (+270)
default_vs_attack_20260525_111809_r1m1,LEAD_CHANGE,2026-05-25T03:29:16+00:00,467.0,15,default,attack,20800,20320,A,NEUTRAL,A overtakes B (+480)
default_vs_attack_20260525_111809_r1m1,LEAD_CHANGE,2026-05-25T03:30:19+00:00,530.0,17,default,attack,21914,21960,B,NEUTRAL,B overtakes A (+46)
default_vs_attack_20260525_111809_r1m1,LEAD_CHANGE,2026-05-25T03:31:21+00:00,592.0,19,default,attack,24180,23820,A,NEUTRAL,A overtakes B (+360)
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T03:37:36+00:00,967.0,31,default,attack,46326,26235,A,B,Factory: neutral -> B
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T03:43:20+00:00,1311.0,42,default,attack,51953,48915,A,A,Factory: b -> A
default_vs_attack_20260525_111809_r1m1,LEAD_CHANGE,2026-05-25T03:44:54+00:00,1405.0,45,default,attack,51626,54064,B,A,B overtakes A (+2438)
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T03:44:54+00:00,1405.0,45,default,attack,51626,54064,B,A,Factory: neutral -> A
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T03:47:30+00:00,1561.0,50,default,attack,59872,61502,B,B,Factory: a -> B
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T03:53:44+00:00,1935.0,62,default,attack,76140,80701,B,A,Factory: b -> A
default_vs_attack_20260525_111809_r1m1,LEAD_CHANGE,2026-05-25T03:57:54+00:00,2185.0,70,default,attack,89149,82712,A,A,A overtakes B (+6437)
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T04:01:01+00:00,2372.0,76,default,attack,97322,88023,A,B,Factory: a -> B
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T04:04:40+00:00,2591.0,83,default,attack,110302,101319,A,A,Factory: b -> A
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T04:08:49+00:00,2840.0,91,default,attack,117818,111028,A,B,Factory: a -> B
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T04:12:28+00:00,3059.0,98,default,attack,132418,119585,A,A,Factory: b -> A
default_vs_attack_20260525_111809_r1m1,FACTORY_CAPTURE,2026-05-25T04:17:10+00:00,3341.0,107,default,attack,140971,129055,A,B,Factory: a -> B
default_vs_attack_20260525_111809_r1m1,MATCH_END,2026-05-25T04:21:28+00:00,3590.0,115,default,attack,143327,140086,A,B,winner=A +3241
default_vs_attack_20260525_111809_r1m2,MATCH_START,2026-05-25T04:25:14+00:00,0.0,0,default,attack,0,0,TIE,NEUTRAL,match started
default_vs_attack_20260525_111809_r1m2,LEAD_CHANGE,2026-05-25T04:33:34+00:00,499.0,14,default,attack,5838,40132,B,NEUTRAL,B overtakes A (+34294)
default_vs_attack_20260525_111809_r1m2,FACTORY_CAPTURE,2026-05-25T04:42:17+00:00,1023.0,28,default,attack,9384,78908,B,B,Factory: neutral -> B
default_vs_attack_20260525_111809_r1m2,FACTORY_CAPTURE,2026-05-25T04:45:57+00:00,1243.0,35,default,attack,17776,94150,B,A,Factory: b -> A
default_vs_attack_20260525_111809_r1m2,FACTORY_CAPTURE,2026-05-25T04:52:12+00:00,1618.0,47,default,attack,29918,110288,B,B,Factory: a -> B
default_vs_attack_20260525_111809_r1m2,FACTORY_CAPTURE,2026-05-25T04:56:22+00:00,1867.0,55,default,attack,40221,120727,B,A,Factory: b -> A
default_vs_attack_20260525_111809_r1m2,FACTORY_CAPTURE,2026-05-25T05:01:04+00:00,2150.0,64,default,attack,51336,129280,B,B,Factory: a -> B
default_vs_attack_20260525_111809_r1m2,FACTORY_CAPTURE,2026-05-25T05:05:16+00:00,2402.0,72,default,attack,66247,142832,B,A,Factory: b -> A
default_vs_attack_20260525_111809_r1m2,FACTORY_CAPTURE,2026-05-25T05:11:01+00:00,2747.0,83,default,attack,76561,159444,B,B,Factory: a -> B
default_vs_attack_20260525_111809_r1m2,FACTORY_CAPTURE,2026-05-25T05:17:16+00:00,3122.0,95,default,attack,94016,180152,B,A,Factory: b -> A
default_vs_attack_20260525_111809_r1m2,FACTORY_CAPTURE,2026-05-25T05:24:02+00:00,3528.0,108,default,attack,108116,200447,B,B,Factory: a -> B
default_vs_attack_20260525_111809_r1m2,MATCH_END,2026-05-25T05:25:14+00:00,3590.0,110,default,attack,109964,204043,B,B,winner=B +94079
default_vs_attack_20260525_111809_r2m1,MATCH_START,2026-05-25T05:28:52+00:00,0.0,0,default,attack,0,0,TIE,NEUTRAL,match started
default_vs_attack_20260525_111809_r2m1,LEAD_CHANGE,2026-05-25T05:32:30+00:00,218.0,7,default,attack,7376,0,A,NEUTRAL,A overtakes B (+7376)
default_vs_attack_20260525_111809_r2m1,LEAD_CHANGE,2026-05-25T05:33:33+00:00,281.0,9,default,attack,12474,13240,B,NEUTRAL,B overtakes A (+766)
default_vs_attack_20260525_111809_r2m1,LEAD_CHANGE,2026-05-25T05:40:49+00:00,717.0,23,default,attack,29133,28587,A,NEUTRAL,A overtakes B (+546)
default_vs_attack_20260525_111809_r2m1,LEAD_CHANGE,2026-05-25T05:41:20+00:00,748.0,24,default,attack,25467,27071,B,NEUTRAL,B overtakes A (+1604)
default_vs_attack_20260525_111809_r2m1,FACTORY_CAPTURE,2026-05-25T05:42:54+00:00,842.0,27,default,attack,28959,30503,B,A,Factory: neutral -> A
default_vs_attack_20260525_111809_r2m1,LEAD_CHANGE,2026-05-25T05:44:59+00:00,966.0,31,default,attack,42486,33406,A,A,A overtakes B (+9080)
default_vs_attack_20260525_111809_r2m1,FACTORY_CAPTURE,2026-05-25T05:57:27+00:00,1715.0,55,default,attack,83203,55886,A,B,Factory: a -> B
default_vs_attack_20260525_111809_r2m1,FACTORY_CAPTURE,2026-05-25T06:01:37+00:00,1965.0,63,default,attack,90531,67388,A,A,Factory: b -> A
